nameWithOwner,folderName,url,createdAt,stargazerCount,releases,LOC,CBO,DIT,LCOM
GoogleContainerTools/jib,jib,https://github.com/GoogleContainerTools/jib,2018-01-22 18:30:43,12638,145,,,,
seaswalker/spring-analysis,spring-analysis,https://github.com/seaswalker/spring-analysis,2016-09-09 07:46:32,12636,0,,,,
facebook/stetho,stetho,https://github.com/facebook/stetho,2015-01-22 22:34:10,12631,13,,,,
greenrobot/greenDAO,greenDAO,https://github.com/greenrobot/greenDAO,2011-10-22 16:15:14,12571,8,,,,
Netflix/zuul,zuul,https://github.com/Netflix/zuul,2013-03-13 18:53:57,12516,5,,,,
apache/druid,druid,https://github.com/apache/druid,2012-10-23 19:08:07,12503,53,,,,
apache/pulsar,pulsar,https://github.com/apache/pulsar,2016-06-28 07:00:03,12473,63,,,,
zhihu/Matisse,Matisse,https://github.com/zhihu/Matisse,2017-04-13 01:31:05,12383,15,,,,
youth5201314/banner,banner,https://github.com/youth5201314/banner,2016-04-22 05:50:25,12326,0,,,,
java-decompiler/jd-gui,jd-gui,https://github.com/java-decompiler/jd-gui,2015-03-25 05:28:41,12324,18,,,,
LuckSiege/PictureSelector,PictureSelector,https://github.com/LuckSiege/PictureSelector,2017-01-04 07:47:39,12309,113,,,,
daimajia/AndroidSwipeLayout,AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout,2014-08-25 04:09:33,12284,18,,,,
daimajia/AndroidViewAnimations,AndroidViewAnimations,https://github.com/daimajia/AndroidViewAnimations,2014-06-23 03:53:13,12251,9,,,,
sqshq/piggymetrics,piggymetrics,https://github.com/sqshq/piggymetrics,2015-03-29 17:56:31,12241,2,,,,
dromara/Sa-Token,Sa-Token,https://github.com/dromara/Sa-Token,2020-02-03 10:34:29,11920,28,,,,
macrozheng/mall-learning,mall-learning,https://github.com/macrozheng/mall-learning,2019-04-12 13:20:31,11863,0,,,,
projectlombok/lombok,lombok,https://github.com/projectlombok/lombok,2009-06-08 19:46:41,11854,3,,,,
google/guice,guice,https://github.com/google/guice,2014-05-28 23:18:53,11848,15,,,,
Netflix/eureka,eureka,https://github.com/Netflix/eureka,2012-07-26 22:23:07,11748,146,,,,
Tencent/VasSonic,VasSonic,https://github.com/Tencent/VasSonic,2017-08-01 08:35:13,11640,10,,,,
pagehelper/Mybatis-PageHelper,Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,2014-06-09 15:32:30,11617,11,,,,
codecentric/spring-boot-admin,spring-boot-admin,https://github.com/codecentric/spring-boot-admin,2014-07-25 11:39:13,11595,100,,,,
doocs/source-code-hunter,source-code-hunter,https://github.com/doocs/source-code-hunter,2019-10-28 01:35:10,11556,0,,,,
quarkusio/quarkus,quarkus,https://github.com/quarkusio/quarkus,2018-07-06 00:44:20,11551,224,,,,
Yalantis/uCrop,uCrop,https://github.com/Yalantis/uCrop,2016-01-05 13:41:06,11464,15,,,,
realm/realm-java,realm-java,https://github.com/realm/realm-java,2012-04-20 09:18:42,11369,0,,,,
YunaiV/ruoyi-vue-pro,ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,2021-01-24 03:18:25,11354,16,,,,
neo4j/neo4j,neo4j,https://github.com/neo4j/neo4j,2012-11-12 08:46:15,11214,72,,,,
kunal-kushwaha/DSA-Bootcamp-Java,DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,2021-07-30 12:23:25,11201,0,,,,
apache/zookeeper,zookeeper,https://github.com/apache/zookeeper,2009-03-27 15:41:56,11170,0,,,,
androidannotations/androidannotations,androidannotations,https://github.com/androidannotations/androidannotations,2012-01-06 08:48:03,11131,0,,,,
jfeinstein10/SlidingMenu,SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,2012-06-30 05:14:23,11129,0,,,,
